,RGB_VGG16_Train_Acc,RGB_VGG16_Test_Acc,RGB_VGG16_Train_Loss,RGB_VGG16_Test_Loss,VGG16_Top_1,VGG16_Top_5
0,57.77777777777778,81.11111111111111,1.2480223590836805,0.5609618626973208,95.3704,100
1,78.51851851851852,88.70370370370371,0.6099560322130427,0.3934086149229723,95.3704,100
2,83.93518518518519,78.88888888888889,0.4786239821902093,0.731792662950123,95.3704,100
3,87.12962962962963,89.62962962962963,0.39536421099568114,0.2700166446978555,95.3704,100
4,89.53703703703704,89.62962962962963,0.3046272720265038,0.29442865708295035,95.3704,100
5,90.92592592592592,91.66666666666667,0.26608908554429517,0.2435990273952484,95.3704,100
6,93.56481481481481,92.96296296296296,0.19520322553923025,0.2087992930730038,95.3704,100
7,94.30555555555556,93.51851851851852,0.17014901572838426,0.19338309084174826,95.3704,100
8,95.83333333333333,93.33333333333333,0.12536882305079522,0.260032285730738,95.3704,100
9,96.48148148148148,93.51851851851852,0.108185948612278,0.2428971250397701,95.3704,100
10,96.71296296296296,94.62962962962963,0.09135106815408696,0.160209444402854,95.3704,100
11,96.57407407407408,93.14814814814815,0.10641692505519398,0.23454149885048323,95.3704,100
12,96.89814814814815,93.14814814814815,0.0794601760160945,0.21655844349708572,95.3704,100
13,97.22222222222223,93.14814814814815,0.08191142114810646,0.20241595854339026,95.3704,100
14,96.94444444444444,94.07407407407408,0.0958783556946882,0.1866345955949167,95.3704,100
15,97.17592592592592,93.70370370370371,0.08053944304393713,0.23581186606658294,95.3704,100
16,96.52777777777777,92.96296296296296,0.10476608004982528,0.26364924885359975,95.3704,100
17,97.63888888888889,93.88888888888889,0.06890896568074822,0.2226857977477587,95.3704,100
18,97.22222222222223,94.44444444444444,0.08854473062434837,0.206485433055444,95.3704,100
19,97.5,95.55555555555556,0.07120070466429324,0.15537550964954255,95.3704,100
20,99.16666666666667,95.55555555555556,0.033293346797376326,0.17725014405304512,95.3704,100
21,97.63888888888889,94.81481481481481,0.07582790609996985,0.18983649901415714,95.3704,100
22,99.25925925925925,95.55555555555556,0.025552909740808365,0.17288176853788387,95.3704,100
23,98.6574074074074,95.92592592592592,0.047391904622439626,0.13273568294243887,95.3704,100
24,98.24074074074075,94.62962962962963,0.05480001732597456,0.24859030058552675,95.3704,100
25,99.35185185185185,94.07407407407408,0.029823963352742688,0.2186687257284682,95.3704,100
26,98.56481481481481,93.88888888888889,0.03638558692503412,0.25565636519904195,95.3704,100
27,98.33333333333333,94.07407407407408,0.05265509843593463,0.23176087517811753,95.3704,100
28,98.33333333333333,92.4074074074074,0.041019135361078526,0.3154409093737794,95.3704,100
29,98.79629629629629,95.18518518518519,0.04675713867190472,0.18998667859191568,95.3704,100
30,98.6574074074074,93.70370370370371,0.039212652494932304,0.27445992173328276,95.3704,100
31,98.24074074074075,93.51851851851852,0.0569204766447108,0.27094642980270744,95.3704,100
32,98.61111111111111,94.44444444444444,0.0350028486290659,0.24411902263476376,95.3704,100
33,99.35185185185185,94.81481481481481,0.02018458898494239,0.18666213110926785,95.3704,100
34,99.30555555555556,95.0,0.016525999684852327,0.18655938828455607,95.3704,100
35,98.88888888888889,94.81481481481481,0.03251638445341515,0.21005005084674955,95.3704,100
36,99.30555555555556,95.74074074074075,0.019516920833987515,0.20665629253380757,95.3704,100
37,99.21296296296296,94.62962962962963,0.033920386292105406,0.23095458868545607,95.3704,100
38,98.24074074074075,94.44444444444444,0.05991146084595718,0.1894865479758557,95.3704,100
39,99.25925925925925,95.74074074074075,0.02196955221477444,0.21001216197798975,95.3704,100
40,99.58333333333333,95.55555555555556,0.014306160131715895,0.18635237915361144,95.3704,100
41,99.67592592592592,95.55555555555556,0.009082761983710738,0.2006017681243761,95.3704,100
42,99.81481481481481,95.74074074074075,0.0068540255183506815,0.1872780614755945,95.3704,100
43,99.81481481481481,95.18518518518519,0.006961766969224674,0.24880651379670085,95.3704,100
44,99.67592592592592,95.92592592592592,0.005980205972424729,0.20406809661718023,95.3704,100
45,99.30555555555556,90.18518518518519,0.030072145337565897,0.40984065369155037,95.3704,100
46,98.33333333333333,94.81481481481481,0.04913672967300312,0.21115246551113054,95.3704,100
47,99.12037037037037,95.0,0.025898290227119373,0.2175779274843722,95.3704,100
48,99.44444444444444,94.81481481481481,0.01736300173230548,0.20531770534698274,95.3704,100
49,99.62962962962963,94.07407407407408,0.015458343248824617,0.24179711842739113,95.3704,100
